oylik_daromad,oylik_xarajat,qarz_miqdori,kredit_oylik_tolovi,biznes_yoshi,kech_tolovlar,soliq_qarzi,soha,hudud,naqd_ulushi,mavsumiylik,xodimlar_soni,import_bogliq,valyuta_kurs_xavfi,risk_score,bankrot
251323381,174191500,140540558,1342582,3,10,0,Savdo,Viloyat,0.68,0,40,1,0.73,55,0
182389763,183267770,41713156,338555,8,2,18244970,Savdo,Viloyat,0.86,1,104,1,0.84,100,1
54603106,36191339,25850563,260006,12,0,0,Xizmat,Toshkent,0.64,0,59,0,0.47,8,0
315558065,274306621,82055052,825578,7,10,5242423,Ishlab chiqarish,Viloyat,0.91,1,117,0,0.34,39,0
123685988,75208531,20329031,183603,4,6,0,Savdo,Toshkent,0.91,1,107,1,0.53,32,0
14093277,9282323,4387055,29704,1,6,0,Xizmat,Viloyat,0.51,1,16,0,0.54,58,1
30321010,20369182,2672697,24680,7,5,0,Savdo,Toshkent,0.4,0,101,1,0.82,37,0
263509287,275041415,99646252,1094998,7,9,0,Savdo,Viloyat,0.34,1,23,1,0.9,100,1
163270618,119354003,67849752,569262,14,10,0,Savdo,Toshkent,0.76,1,62,1,0.71,44,0
172631209,133233515,108669056,805872,12,9,36605066,Xizmat,Toshkent,0.69,1,59,1,0.34,49,0
148712051,98781502,35282251,296414,11,2,47091779,Savdo,Toshkent,0.55,1,9,1,0.32,31,0
135875654,124923804,77209777,708228,13,5,59626798,Savdo,Toshkent,0.48,0,112,1,0.67,65,1
32628940,21416637,15000026,100227,7,6,0,Xizmat,Viloyat,0.51,1,78,1,0.88,48,0
31815686,28677049,6881391,51945,2,2,0,Ishlab chiqarish,Viloyat,0.65,1,12,1,0.9,65,1
119306578,84969124,78621268,744675,2,4,30736808,Xizmat,Toshkent,0.78,0,63,0,0.09,44,0
65301530,39632070,19651812,140006,7,6,0,Xizmat,Viloyat,0.72,0,1,0,0.27,29,0
81909748,65420714,24692390,147386,2,6,0,Xizmat,Viloyat,0.64,1,56,0,0.13,25,1
157531177,118496753,70589589,506223,11,1,0,Savdo,Viloyat,0.37,1,32,1,0.97,46,1
60175009,38154948,21502835,125903,7,1,10827705,Xizmat,Viloyat,0.49,0,26,0,0.5,17,0
76854630,66400431,24959858,230329,10,2,0,Savdo,Toshkent,0.87,1,61,1,0.76,34,0
126970558,99147657,3342509,25956,12,7,0,Savdo,Viloyat,0.93,0,58,1,0.73,37,0
237209856,189930053,159026827,1332473,5,0,17625799,Ishlab chiqarish,Toshkent,0.94,0,57,0,0.46,26,0
119732205,106495673,4388887,42711,9,4,0,Xizmat,Viloyat,0.64,1,43,0,0.18,21,0
237539682,208566339,110098362,656972,4,10,0,Ishlab chiqarish,Toshkent,0.64,1,83,0,0.05,46,1
72028914,67208602,9680949,121010,10,9,9794552,Xizmat,Toshkent,0.8,0,20,1,0.47,68,1
271064960,198460131,136538123,1675584,7,4,55265829,Ishlab chiqarish,Toshkent,0.8,0,116,0,0.41,34,0
84228392,67505126,24684189,153423,15,5,0,Xizmat,Viloyat,0.86,0,92,1,0.7,25,0
33840994,23228311,21445523,130927,11,0,0,Savdo,Viloyat,0.41,1,51,1,0.96,44,0
14396292,8631175,7202363,54123,4,7,0,Xizmat,Toshkent,0.89,1,116,1,0.28,35,0
54824494,50088611,20254364,118161,14,1,8439547,Xizmat,Toshkent,0.28,1,77,1,0.48,51,0
207906391,178259935,35010389,284433,0,6,59608280,Ishlab chiqarish,Toshkent,0.93,0,6,0,0.05,56,0
8791591,5132353,1483916,14732,1,5,37642362,Xizmat,Viloyat,0.78,0,105,1,0.69,67,0
321653280,198597191,161222768,1947093,10,4,35586807,Ishlab chiqarish,Viloyat,0.8,0,105,1,0.4,42,0
197825830,144113562,108129441,1242784,14,6,0,Xizmat,Toshkent,0.51,1,64,0,0.07,31,0
127714826,108714263,73517621,668352,14,9,49161542,Xizmat,Toshkent,0.71,1,22,0,0.04,52,0
16888602,16986616,7268787,60055,11,8,0,Xizmat,Viloyat,0.29,1,4,0,0.44,100,1
31435955,27430430,7969184,96594,11,7,0,Savdo,Toshkent,0.56,1,74,1,0.37,51,1
90499784,61069781,7186952,75589,8,7,15399577,Xizmat,Viloyat,0.64,1,89,0,0.21,25,0
60554511,46781726,3721287,37638,9,4,0,Savdo,Viloyat,0.49,0,92,0,0.18,22,0
257451878,157221028,36219941,218825,14,8,0,Ishlab chiqarish,Toshkent,0.64,1,9,0,0.01,22,0
253202869,148598523,172346536,1692018,4,6,0,Ishlab chiqarish,Viloyat,0.49,0,107,1,0.76,66,1
48264473,49102774,7617543,92218,8,2,42944540,Savdo,Viloyat,0.31,0,79,1,0.46,100,1
139624423,127102399,59144519,669455,8,10,15147110,Ishlab chiqarish,Toshkent,0.27,0,80,0,0.45,56,0
193120145,152849266,108781045,1102760,13,7,0,Xizmat,Viloyat,0.29,1,44,1,0.3,44,0
206602207,151908425,81226866,600540,1,4,26779858,Ishlab chiqarish,Viloyat,0.42,0,32,0,0.15,44,0
170070401,109681301,18969599,236546,12,8,0,Savdo,Viloyat,0.6,0,28,1,0.91,37,0
170665380,166157455,51481116,598129,1,9,0,Ishlab chiqarish,Viloyat,0.51,1,47,0,0.42,100,1
139921938,115425600,80835411,782026,10,8,0,Savdo,Viloyat,0.32,1,26,1,0.35,50,1
231768660,182372286,74140938,707820,12,9,50614882,Savdo,Toshkent,0.68,0,76,1,0.5,38,0
298034465,285479589,76848325,772598,15,4,0,Ishlab chiqarish,Viloyat,0.81,0,93,0,0.32,43,0
104841242,70358777,42020284,430872,6,6,34676536,Ishlab chiqarish,Viloyat,0.54,1,112,1,0.58,58,0
435380455,284595513,99064149,987342,11,10,52807357,Ishlab chiqarish,Toshkent,0.37,1,79,0,0.17,40,0
108774379,98163489,52556292,455532,9,1,39485376,Xizmat,Toshkent,0.9,1,115,0,0.31,35,0
88163229,90601546,4877243,58185,8,2,0,Xizmat,Toshkent,0.4,1,32,0,0.41,83,1
43316353,39360661,3048667,32866,15,7,0,Savdo,Toshkent,0.9,1,97,1,0.66,54,0
154263000,144137561,70437891,474867,13,2,3438725,Xizmat,Viloyat,0.28,0,101,0,0.47,53,0
8532293,7264321,5545294,41660,14,4,0,Xizmat,Toshkent,0.62,0,43,0,0.35,54,1
46928663,33720876,9691565,97477,13,8,0,Xizmat,Viloyat,0.7,1,52,1,0.71,31,0
7709738,5148259,4067886,49446,7,0,0,Xizmat,Toshkent,0.26,1,60,0,0.4,36,0
36871968,37621125,9486446,63145,13,8,0,Xizmat,Viloyat,0.57,1,98,0,0.26,91,1
155717807,91725786,61495781,335962,5,5,58343585,Savdo,Viloyat,0.65,0,15,1,0.63,47,0
73966604,57157053,2880634,17253,0,6,0,Ishlab chiqarish,Viloyat,0.64,1,96,1,0.67,41,0
418674729,425914200,20227600,242798,11,6,31100817,Ishlab chiqarish,Toshkent,0.79,1,49,1,0.56,100,1
485121270,295592434,337155762,2679693,9,7,46197810,Ishlab chiqarish,Toshkent,0.83,0,69,1,0.98,62,1
65706166,59957663,5190211,57461,7,3,0,Savdo,Viloyat,0.87,0,77,1,0.82,39,1
192593475,144663252,31592551,209443,7,9,22401264,Ishlab chiqarish,Toshkent,0.6,1,31,0,0.03,30,0
83302058,69004014,34500962,362746,11,10,46053034,Savdo,Viloyat,0.64,0,101,1,0.76,61,1
212227664,156672848,112075576,958402,1,8,28694317,Ishlab chiqarish,Viloyat,0.75,1,72,0,0.17,59,1
163980909,97770665,83172641,534684,6,9,0,Xizmat,Toshkent,0.67,0,62,1,0.76,38,0
8231410,5309356,4272370,45293,12,3,38049414,Xizmat,Viloyat,0.74,0,100,0,0.5,53,0
99328184,79327326,6856203,84741,10,6,0,Xizmat,Viloyat,0.89,1,95,0,0.46,19,0
74813851,53486864,19892093,223790,15,10,50633319,Xizmat,Viloyat,0.73,1,59,0,0.36,31,0
128222587,105279517,57606128,313405,0,6,0,Ishlab chiqarish,Viloyat,0.91,0,9,1,0.89,63,1
172984409,100369888,77221972,926994,0,0,36528616,Savdo,Toshkent,0.26,1,69,0,0.36,48,0
101916662,60962159,10622594,68404,2,5,28248038,Ishlab chiqarish,Viloyat,0.44,1,73,0,0.45,46,0
227253281,221329594,103994511,1189348,1,10,0,Ishlab chiqarish,Toshkent,0.52,1,11,0,0.05,93,1
402434471,267571938,253892314,2587710,1,2,58071230,Ishlab chiqarish,Toshkent,0.9,1,3,0,0.15,58,0
310685859,217367771,122649686,1134536,4,1,34607639,Ishlab chiqarish,Toshkent,0.63,1,7,0,0.37,27,0
167384705,114936969,116300586,1009433,2,9,0,Ishlab chiqarish,Viloyat,0.55,1,92,1,0.96,61,1
135201748,117213215,70001881,516269,8,1,0,Xizmat,Toshkent,0.47,1,24,1,0.25,35,0
39375681,23488858,16483867,122528,7,9,0,Savdo,Toshkent,0.52,0,88,1,0.47,43,0
83304298,51895862,9750366,68932,15,9,0,Savdo,Viloyat,0.5,0,59,1,0.84,42,0
89727461,68669153,51725608,511192,15,5,12921035,Xizmat,Viloyat,0.67,0,41,0,0.17,37,0
344148089,245358011,67525331,735620,0,7,0,Ishlab chiqarish,Viloyat,0.39,0,57,1,0.95,57,1
42713643,28661306,19693726,204111,12,8,34998198,Xizmat,Viloyat,0.94,1,70,0,0.04,43,1
44002625,38669543,10934923,107736,10,6,0,Xizmat,Toshkent,0.72,1,13,1,0.99,40,0
301397443,235551627,143371400,1459274,13,1,0,Ishlab chiqarish,Toshkent,0.59,1,45,1,1.0,29,0
173120701,136433181,53098916,542974,0,5,0,Xizmat,Toshkent,0.82,0,87,0,0.17,26,0
347315309,288245475,233022119,1570316,12,0,0,Ishlab chiqarish,Toshkent,0.7,1,58,1,0.39,23,0
69660102,64516591,39435339,215680,6,7,8647388,Xizmat,Toshkent,0.38,1,86,1,0.9,80,1
330134991,200430247,81341777,686032,4,5,0,Ishlab chiqarish,Viloyat,0.81,0,40,1,0.76,41,0
165792609,140627431,66709015,545198,5,7,0,Xizmat,Toshkent,0.89,0,24,0,0.3,30,0
147373715,141126244,99430151,874069,15,2,0,Xizmat,Toshkent,0.54,1,102,0,0.38,65,1
88033248,61124578,48111766,444667,8,8,56249573,Xizmat,Toshkent,0.61,0,70,0,0.27,38,0
268293407,258912624,141106729,1020599,14,1,0,Ishlab chiqarish,Toshkent,0.49,0,27,0,0.25,50,0
350479837,221850515,34159333,223731,5,5,48248248,Ishlab chiqarish,Viloyat,0.5,1,38,1,0.29,43,0
124235188,117134590,79900382,994252,4,5,0,Ishlab chiqarish,Toshkent,0.86,0,98,0,0.07,64,0
42920306,29372879,12445067,104413,11,7,33752110,Xizmat,Viloyat,0.32,1,75,0,0.48,41,0
366613635,267302167,16252525,146405,10,4,0,Ishlab chiqarish,Viloyat,0.4,1,73,1,0.57,26,0
18717116,17630491,6021431,35717,6,2,44620573,Xizmat,Toshkent,0.25,1,21,0,0.24,76,1
25577430,25626030,2963594,23627,3,0,15322452,Xizmat,Viloyat,0.41,0,10,0,0.38,88,1
10644185,7682835,898535,10290,3,1,22028661,Savdo,Viloyat,0.41,0,113,0,0.26,53,0
34296521,19008413,15605402,129536,14,3,0,Savdo,Toshkent,0.36,1,18,0,0.35,38,0
227684416,161030220,22286008,157723,0,10,59775767,Ishlab chiqarish,Viloyat,0.67,1,27,1,0.67,53,0
82990952,50323375,29022581,274393,4,6,58768249,Xizmat,Toshkent,0.94,1,47,0,0.54,32,0
188230800,158806890,1817443,12027,13,6,48097714,Savdo,Viloyat,0.53,1,11,0,0.52,46,0
30520094,19886855,17263448,155766,9,6,0,Savdo,Viloyat,0.83,0,8,1,0.73,53,1
156309729,90271105,72880302,724094,5,7,24266987,Xizmat,Toshkent,0.35,0,22,1,0.26,55,0
41142595,31460190,15086905,105187,1,7,0,Ishlab chiqarish,Toshkent,0.6,1,48,0,0.35,30,0
90725351,50015457,54533403,277692,1,8,54896167,Savdo,Toshkent,0.89,0,29,1,0.52,70,1
184059681,147435572,116207682,737347,14,4,52910550,Xizmat,Toshkent,0.92,0,42,0,0.54,38,1
115495396,96081009,24570088,237602,7,2,1428012,Xizmat,Toshkent,0.6,0,4,0,0.33,10,0
10805378,7975853,5582683,40788,4,4,0,Savdo,Viloyat,0.54,0,118,1,0.99,70,1
425546064,331597839,222785951,2084336,13,10,0,Ishlab chiqarish,Viloyat,0.53,0,38,0,0.35,40,0
183734108,122514934,121354225,730654,14,5,0,Ishlab chiqarish,Viloyat,0.32,1,69,0,0.06,53,1
89591704,87463103,5670673,62700,10,2,0,Savdo,Viloyat,0.67,0,46,1,0.78,83,1
154875590,128233407,59640208,340571,7,2,14296482,Savdo,Toshkent,0.34,0,48,1,0.85,40,0
407753023,411306301,21403374,267086,10,1,3865301,Ishlab chiqarish,Toshkent,0.82,0,7,1,0.73,87,1
12212628,9322289,3025804,35741,9,7,28648328,Xizmat,Viloyat,0.35,0,8,1,0.58,69,1
130447496,129446475,48013789,467205,15,8,53441222,Xizmat,Toshkent,0.94,1,45,0,0.44,86,1
117502894,66348212,66680842,473900,5,1,0,Savdo,Toshkent,0.5,0,35,0,0.26,24,0
168483849,175447677,45810045,550363,11,9,2892910,Ishlab chiqarish,Toshkent,0.42,1,73,0,0.1,95,1
50697891,30171769,8255459,54825,4,5,0,Xizmat,Viloyat,0.89,0,118,0,0.0,25,0
11908538,10745647,1180813,6886,3,5,21251116,Xizmat,Toshkent,0.3,1,18,0,0.2,74,1
342478897,309461006,134725758,1572519,12,4,50257568,Ishlab chiqarish,Viloyat,0.72,0,17,0,0.2,41,0
261869977,270404835,5936047,56498,15,2,0,Savdo,Viloyat,0.4,0,31,0,0.53,88,1
110777661,72541880,53751897,410052,13,2,28784355,Savdo,Viloyat,0.28,1,113,0,0.4,51,1
78712942,74333747,31850313,340378,9,0,22388729,Ishlab chiqarish,Viloyat,0.81,0,14,1,0.59,77,1
418011980,434323125,98887175,1225169,13,2,0,Ishlab chiqarish,Toshkent,0.55,0,43,0,0.39,76,1
194890604,197382631,73685760,733503,4,0,0,Savdo,Viloyat,0.53,1,55,1,0.32,93,1
32826069,20858212,6705316,37647,8,1,44074923,Xizmat,Toshkent,0.53,1,24,0,0.17,22,0
52961590,36101161,17241146,115460,2,10,24071449,Xizmat,Viloyat,0.78,0,97,1,0.3,40,0
314195502,319907801,125960977,852417,4,1,51814077,Ishlab chiqarish,Viloyat,0.85,0,23,1,0.55,100,1
251496273,143689365,13796573,139668,10,1,6840312,Savdo,Toshkent,0.35,1,72,1,0.87,35,0
211226521,198730957,16636874,101856,3,9,0,Xizmat,Toshkent,0.93,0,101,0,0.32,40,0
220393154,193371594,88249004,754339,1,6,59985848,Ishlab chiqarish,Viloyat,0.68,1,89,1,0.55,75,1
123945976,86951507,24323487,211301,9,7,52944334,Xizmat,Toshkent,0.86,0,35,0,0.05,26,0
142962757,143922952,40747138,351788,2,4,48618396,Ishlab chiqarish,Toshkent,0.29,0,18,0,0.21,100,1
318378696,308346054,55602668,468361,12,10,0,Savdo,Toshkent,0.44,1,31,0,0.39,59,1
125735080,98990115,48525392,367913,9,0,0,Ishlab chiqarish,Viloyat,0.83,0,21,0,0.14,9,0
213415887,186908282,76679658,880644,5,9,0,Savdo,Toshkent,0.58,0,29,0,0.38,30,0
127538011,124450709,40977786,271951,0,8,45449921,Xizmat,Viloyat,0.69,0,72,0,0.29,97,1
25347067,17444906,5768889,40824,4,8,0,Savdo,Viloyat,0.71,0,116,0,0.52,31,0
348357355,215969281,6207271,54191,6,5,0,Ishlab chiqarish,Viloyat,0.53,0,88,1,0.93,40,0
270449635,171733714,124496156,1143728,10,10,0,Ishlab chiqarish,Viloyat,0.77,0,46,1,0.6,41,0
88575383,74650034,28754442,169172,15,3,0,Xizmat,Viloyat,0.66,0,112,1,0.73,23,0
73510321,76715062,45943332,569691,15,5,0,Savdo,Toshkent,0.38,0,41,1,0.9,100,1
75277798,70518068,30366705,187917,13,6,29791410,Savdo,Viloyat,0.34,1,50,0,0.43,100,1
225593799,145573051,106869128,1036646,3,6,34778339,Savdo,Viloyat,0.49,0,22,1,0.77,76,1
84896402,68778328,31146991,257040,11,3,12065144,Savdo,Viloyat,0.95,1,3,0,0.07,27,0
404374595,247307815,201288398,2202287,1,10,0,Ishlab chiqarish,Toshkent,0.79,0,7,1,0.73,58,1
94320995,63795810,46340635,303123,8,9,0,Xizmat,Viloyat,0.54,0,54,0,0.01,36,0
42480556,33936421,18109514,196211,9,2,3644472,Savdo,Viloyat,0.5,1,117,0,0.54,34,0
57803611,51203396,36694658,413337,3,4,0,Xizmat,Viloyat,0.31,0,59,0,0.08,57,1
259777838,180619267,145765831,1070694,0,2,0,Savdo,Toshkent,0.78,0,43,0,0.05,36,0
28248856,20377633,2250936,18011,13,10,0,Xizmat,Viloyat,0.73,1,15,0,0.46,23,0
161022906,127423451,64129047,531387,15,7,8579105,Savdo,Toshkent,0.68,0,57,1,0.83,38,1
8535365,7587636,4585796,42761,3,6,0,Xizmat,Viloyat,0.72,1,62,0,0.54,65,1
32631488,20507705,19389365,220826,10,4,0,Ishlab chiqarish,Toshkent,0.59,0,71,0,0.04,22,0
31072075,29538066,9746347,111346,3,6,0,Xizmat,Toshkent,0.6,0,72,0,0.07,66,0
290153437,254551027,92659207,700170,15,10,25380284,Ishlab chiqarish,Viloyat,0.84,1,15,0,0.45,49,1
24407382,23551706,16477510,118471,15,2,56152658,Ishlab chiqarish,Toshkent,0.28,0,14,0,0.39,100,1
165657260,106896870,39186802,418460,14,7,0,Xizmat,Toshkent,0.72,0,64,1,0.72,26,1
421812615,408908546,142594756,1256615,3,6,45125541,Ishlab chiqarish,Toshkent,0.65,0,65,0,0.1,64,1
195149591,140786652,40185492,443486,10,8,0,Ishlab chiqarish,Toshkent,0.87,1,26,1,0.7,24,0
363875526,322461708,249958778,2468504,3,5,38733986,Ishlab chiqarish,Viloyat,0.74,1,75,0,0.28,71,1
259617639,210644663,4592765,27969,9,10,0,Ishlab chiqarish,Viloyat,0.78,0,108,0,0.11,23,0
159239666,152394447,11423217,131484,7,8,53633963,Xizmat,Toshkent,0.77,1,89,0,0.48,60,1
273212709,251857032,38840207,447298,6,3,20741932,Ishlab chiqarish,Viloyat,0.41,1,23,0,0.24,62,0
71978700,43883751,2047359,14522,10,7,0,Savdo,Toshkent,0.84,0,6,1,0.37,27,0
296815745,244896761,15142517,156083,13,8,37039872,Ishlab chiqarish,Viloyat,0.61,0,12,0,0.53,39,0
92957516,61279699,48975502,439738,3,10,24220156,Savdo,Viloyat,0.94,0,31,0,0.45,55,1
121249571,123976938,32751104,296455,14,7,3942835,Savdo,Viloyat,0.83,1,115,1,0.93,100,1
33840637,34792848,12743787,64419,3,3,37088074,Xizmat,Toshkent,0.79,1,83,1,0.75,100,1
188855457,112134900,7174174,78604,13,6,31274530,Savdo,Viloyat,0.41,1,56,1,0.68,48,0
156259852,142218785,6917047,73283,9,10,0,Xizmat,Toshkent,0.5,0,37,1,0.89,41,0
301065549,198683049,157375313,1727316,11,0,0,Ishlab chiqarish,Toshkent,0.69,1,16,0,0.16,16,0
304335768,180338246,44748625,472578,5,2,15816829,Ishlab chiqarish,Viloyat,0.88,0,25,0,0.12,25,0
180749979,125680220,8523071,48892,7,1,0,Savdo,Viloyat,0.48,0,116,0,0.27,17,0
93520260,65729568,38242206,353420,10,3,0,Xizmat,Viloyat,0.55,0,92,0,0.17,23,0
238283184,184116409,129229756,1118132,4,8,14182323,Savdo,Viloyat,0.31,1,94,1,0.73,71,0
263340619,211617665,5750295,53846,15,10,0,Savdo,Toshkent,0.88,1,47,1,0.69,26,0
155734432,92705127,39666477,201483,4,7,0,Xizmat,Toshkent,0.94,0,73,1,0.97,32,0
372329941,212306223,198463275,1337270,12,7,0,Ishlab chiqarish,Toshkent,0.72,1,6,1,0.43,40,0
160504694,134034272,42318940,331733,12,3,35653123,Ishlab chiqarish,Viloyat,0.3,1,46,0,0.49,37,0
144065526,79711288,88949509,738213,5,2,0,Xizmat,Viloyat,0.45,0,85,1,0.64,42,0
120585113,76043761,70343988,363562,4,0,12162980,Xizmat,Viloyat,0.36,0,119,1,0.68,41,1
108187370,71219389,45932909,392064,5,9,45268278,Xizmat,Toshkent,0.54,0,22,0,0.12,47,0
166817774,102777531,1934058,17252,5,7,0,Ishlab chiqarish,Toshkent,0.83,0,113,0,0.38,18,0
83664071,51467159,35342402,396061,11,0,47818016,Ishlab chiqarish,Toshkent,0.7,1,30,0,0.43,24,0
129965582,102487039,21153071,242052,0,0,0,Xizmat,Toshkent,0.54,0,67,1,0.91,25,1
502622741,379189924,37499803,307331,8,10,0,Ishlab chiqarish,Toshkent,0.63,1,53,0,0.14,18,0
171421532,143792765,92899523,741893,14,2,0,Ishlab chiqarish,Viloyat,0.33,0,66,1,0.9,49,0
56175513,48756879,31630103,353447,7,5,0,Xizmat,Toshkent,0.31,1,93,0,0.33,46,0
294546150,275932078,36137805,314679,6,0,0,Ishlab chiqarish,Viloyat,0.9,1,79,1,0.89,43,1
75245908,78091930,4574196,32337,0,1,7050928,Savdo,Viloyat,0.53,0,93,1,0.75,100,1
224629375,174622272,63518342,319807,10,1,54884541,Xizmat,Toshkent,0.64,1,113,1,0.63,19,0
377255565,278618377,127716448,871607,15,1,0,Ishlab chiqarish,Viloyat,0.73,0,49,1,0.83,22,0
131436192,106233579,894585,10056,2,8,12977975,Savdo,Viloyat,0.72,1,41,1,0.32,40,0
