oylik_daromad_uzs,oylik_xarajat_uzs,sof_foyda_uzs,kredit_miqdori_uzs,kredit_oylik_tolovi,soliq_qarzi_uzs,xodim_soni,biznes_yoshi_yil,kech_tolovlar_soni,sohasi,hudud,foyda_margini,qarz_daromadga_nisbati,xarajat_nisbati,kredit_yuklama,bankrotlik_riski
69422843,41489908,27932935,150620638,4958522,9193906,77,5,10,Ishlab chiqarish,Viloyat,0.4023594222437707,2.1696120684657068,0.5976405777562294,0.07142493429720244,0
54786384,46012597,8773787,206540051,5017587,16473623,30,5,4,Savdo,Toshkent,0.1601453930597062,3.769915733077036,0.8398546069402938,0.09158456232482874,1
57072885,38747796,18325089,40075901,1631466,0,25,0,7,Xizmat,Viloyat,0.32108222670012215,0.7021881056126741,0.6789177732998779,0.028585658496149267,0
166440107,154200958,12239149,55889365,2757488,23086527,1,3,9,Savdo,Viloyat,0.07353485419232517,0.33579265242841977,0.9264651458076748,0.016567449094466155,0
192657074,240928374,-48271300,49394291,1931244,46819279,97,1,10,Ishlab chiqarish,Viloyat,-0.2505555544770705,0.2563845177052777,1.2505555544770706,0.010024256882464644,1
494639824,419035556,75604268,246591328,5903976,51925749,58,4,2,Ishlab chiqarish,Toshkent,0.15284711083028366,0.49852704136495085,0.8471528891697163,0.011935909147501233,0
155106756,143922066,11184690,358690083,15207304,12365397,5,6,2,Savdo,Viloyat,0.07210962493471271,2.3125368117427456,0.9278903750652873,0.09804411098637122,0
369506449,272649765,96856684,0,0,54735364,100,7,10,Ishlab chiqarish,Viloyat,0.26212447512654913,0.0,0.7378755248734509,0.0,0
362048744,455829880,-93781136,113435005,5383361,0,86,8,7,Ishlab chiqarish,Viloyat,-0.2590290328420529,0.3133141790432506,1.2590290328420528,0.014869160822168189,1
122693289,77868179,44825110,0,0,45757163,22,9,6,Ishlab chiqarish,Viloyat,0.3653428020826795,0.0,0.6346571979173204,0.0,0
53074482,65034400,-11959918,430525766,20739111,32195552,24,14,3,Xizmat,Viloyat,-0.22534215218530065,8.111728080549142,1.2253421521853007,0.3907548452380562,1
122372204,140535199,-18162995,0,0,0,8,14,7,Xizmat,Toshkent,-0.1484241878980949,0.0,1.148424187898095,0.0,1
463840544,612807597,-148967053,83802434,3654569,34604349,31,2,9,Ishlab chiqarish,Toshkent,-0.3211600515025267,0.180670782414398,1.3211600515025268,0.007878933929501428,1
60753041,64320275,-3567234,0,0,0,8,6,10,Savdo,Viloyat,-0.05871696200359748,0.0,1.0587169620035974,0.0,1
149837893,113611578,36226315,0,0,58250184,8,0,1,Savdo,Toshkent,0.2417700507841498,0.0,0.7582299492158502,0.0,0
146352820,140494827,5857993,0,0,74218236,20,15,7,Xizmat,Viloyat,0.040026512642530564,0.0,0.9599734873574695,0.0,1
117787163,119488688,-1701525,0,0,51616558,10,0,1,Savdo,Viloyat,-0.014445759254767007,0.0,1.014445759254767,0.0,1
112934234,139809343,-26875109,212518017,6993113,0,42,4,10,Xizmat,Viloyat,-0.2379713223184389,1.881785615157225,1.237971322318439,0.061921994352925794,1
76007117,62313323,13693794,0,0,11487382,43,6,4,Xizmat,Viloyat,0.18016462853077297,0.0,0.819835371469227,0.0,0
34867991,25799163,9068828,499748157,22165369,34025255,36,11,8,Savdo,Viloyat,0.26009035048793033,14.33257674639184,0.7399096495120697,0.6356938947242472,1
342640105,366351974,-23711869,0,0,10651241,50,10,1,Ishlab chiqarish,Toshkent,-0.06920342555930514,0.0,1.0692034255593053,0.0,0
77791242,94330144,-16538902,161678583,6018161,58797246,50,6,9,Savdo,Viloyat,-0.21260622114761968,2.078364849863176,1.2126062211476196,0.07736296330119012,1
68201264,46969233,21232031,42805246,863945,68005165,56,0,1,Ishlab chiqarish,Viloyat,0.31131433282526844,0.6276312708808447,0.6886856671747316,0.012667580471822341,0
129299499,97547416,31752083,149335370,4382861,68090558,15,4,0,Ishlab chiqarish,Toshkent,0.2455700389063379,1.154957065997603,0.7544299610936621,0.03389696815453245,0
49367616,51265355,-1897739,123327666,3264121,18191489,28,4,1,Savdo,Toshkent,-0.03844096907576011,2.498149110542425,1.0384409690757601,0.06611866775175046,1
302629882,342662862,-40032980,0,0,1257935,32,9,2,Ishlab chiqarish,Viloyat,-0.13228363218936853,0.0,1.1322836321893686,0.0,0
44293250,25141327,19151923,0,0,67495303,23,8,1,Xizmat,Viloyat,0.4323892015149035,0.0,0.5676107984850964,0.0,0
336966620,385787383,-48820763,407841611,16837728,0,56,12,0,Ishlab chiqarish,Toshkent,-0.14488308367161115,1.2103323795098755,1.144883083671611,0.04996853397526437,1
125204264,76372039,48832225,416147866,14864334,50822173,22,10,3,Savdo,Viloyat,0.39002046288136,3.32375154571413,0.60997953711864,0.11872066912992675,0
190164983,205607767,-15442784,0,0,0,17,10,3,Savdo,Toshkent,-0.08120729566704718,0.0,1.081207295667047,0.0,0
104184876,122146868,-17961992,253977968,9494723,67882402,86,5,9,Ishlab chiqarish,Toshkent,-0.1724049851535073,2.437762348538957,1.1724049851535072,0.09113340980508533,1
130230090,121838773,8391317,0,0,0,44,10,7,Ishlab chiqarish,Viloyat,0.06443454811403417,0.0,0.9355654518859658,0.0,0
172264960,116290637,55974323,430180112,14575082,0,29,14,9,Savdo,Toshkent,0.32493156472448026,2.4972003128204365,0.6750684352755197,0.0846085123753548,0
131915483,96912962,35002521,0,0,0,3,6,3,Xizmat,Viloyat,0.2653405059359105,0.0,0.7346594940640895,0.0,0
128115331,102223039,25892292,0,0,72338081,22,14,1,Xizmat,Toshkent,0.20210143312200474,0.0,0.7978985668779953,0.0,0
103044539,82655087,20389452,0,0,35469505,43,10,2,Savdo,Viloyat,0.1978702820922902,0.0,0.8021297179077098,0.0,0
48523506,43206649,5316857,302228163,13417583,77166181,44,11,8,Xizmat,Viloyat,0.1095728119893068,6.228489816873497,0.8904271880106932,0.2765171791172715,1
314116688,260235351,53881337,107496905,3251993,0,33,2,2,Ishlab chiqarish,Viloyat,0.1715328699760135,0.34221965628263595,0.8284671300239865,0.010352818313174117,0
47524802,46820691,704111,191339759,4043473,0,39,4,6,Savdo,Viloyat,0.014815653519187729,4.026103233423256,0.9851843464808123,0.08508132237983863,0
248888959,181921216,66967743,231559788,9630008,15904835,49,4,7,Savdo,Toshkent,0.26906674875842923,0.9303738861312848,0.7309332512415707,0.03869198552917729,0
324639656,317983361,6656295,464163202,15712109,55627025,72,7,6,Ishlab chiqarish,Toshkent,0.020503641120171716,1.429779737075621,0.9794963588798283,0.0483986127683674,1
94681077,98149682,-3468605,240965245,10934224,29560393,6,5,2,Savdo,Toshkent,-0.036634617073483436,2.545020109984596,1.0366346170734835,0.11548478689147146,1
152783619,185609062,-32825443,114318450,2469016,0,25,8,1,Xizmat,Toshkent,-0.21484923066261444,0.748237610473149,1.2148492306626144,0.016160214139187265,0
149940614,178036054,-28095440,0,0,61705913,9,11,7,Savdo,Toshkent,-0.18737711718320696,0.0,1.187377117183207,0.0,1
95143089,84929814,10213275,426890014,9961737,10667084,20,14,0,Ishlab chiqarish,Toshkent,0.10734647263765001,4.486821044879045,0.89265352736235,0.10470268628759784,0
29036089,19143852,9892237,0,0,25110346,28,7,0,Xizmat,Viloyat,0.3406876525278594,0.0,0.6593123474721406,0.0,0
64456943,80356860,-15899917,0,0,0,41,11,6,Savdo,Viloyat,-0.24667500908319528,0.0,1.2466750090831953,0.0,1
148074804,122796681,25278123,412406967,9898710,12821194,42,11,2,Xizmat,Toshkent,0.17071184507527695,2.7851258678687834,0.8292881549247231,0.06684938782697966,0
360740404,301788666,58951738,0,0,0,30,14,0,Ishlab chiqarish,Viloyat,0.16341872811119876,0.0,0.8365812718888013,0.0,0
144021368,101866288,42155080,0,0,23002693,8,10,5,Xizmat,Viloyat,0.29270017765697104,0.0,0.707299822343029,0.0,0
106661803,99503558,7158245,297217877,13087823,0,28,13,9,Xizmat,Viloyat,0.06711160695455336,2.786544654603298,0.9328883930454467,0.12270393554101088,0
214793262,148506433,66286829,169699600,6461931,41183341,61,5,5,Ishlab chiqarish,Viloyat,0.30860758099572044,0.790060164922678,0.6913924190042796,0.03008442136327349,0
176704323,254243816,-77539493,0,0,23521194,24,14,8,Savdo,Viloyat,-0.4388092587864984,0.0,1.4388092587864985,0.0,1
220809719,205354943,15454776,223184591,6916457,0,39,5,2,Savdo,Toshkent,0.06999137569664676,1.0107552874518173,0.9300086243033533,0.03132315475660743,0
131078725,144278727,-13200002,313692902,12386735,0,48,14,2,Xizmat,Viloyat,-0.10070285624154492,2.393164123315969,1.1007028562415448,0.09449843977350253,1
370878259,257175848,113702411,215196616,8784200,0,22,15,1,Ishlab chiqarish,Viloyat,0.3065761021057856,0.5802351870941025,0.6934238978942144,0.023684860966735718,0
47640114,54298112,-6657998,458543756,18931535,19454841,20,14,2,Savdo,Viloyat,-0.13975613072630347,9.625160762629577,1.1397561307263036,0.39738643362608245,1
56290680,67008048,-10717368,146877423,5378745,61367074,9,5,9,Xizmat,Toshkent,-0.190393294236275,2.6092671646531893,1.190393294236275,0.09555302938248392,1
132434301,160619056,-28184755,256471037,8279655,0,21,2,10,Savdo,Viloyat,-0.2128206573914714,1.9365907099853232,1.2128206573914715,0.06251896176051852,1
160131743,132838041,27293702,221743374,8344996,26762476,33,2,0,Xizmat,Viloyat,0.17044529391027735,1.3847558881564164,0.8295547060897226,0.05211331522195446,0
255401454,198277037,57124417,189290564,8867842,29384825,30,3,10,Ishlab chiqarish,Toshkent,0.2236651988676619,0.7411491243898713,0.7763348011323381,0.034721188392294745,0
185029507,167386730,17642777,0,0,74206814,47,8,9,Savdo,Viloyat,0.0953511539108192,0.0,0.9046488460891808,0.0,0
77321379,86001886,-8680507,213176887,8216530,63422768,74,10,4,Ishlab chiqarish,Toshkent,-0.11226528952619948,2.7570238627016725,1.1122652895261995,0.10626465935119962,1
129072755,94569788,34502967,359980346,9402935,21356140,46,9,5,Xizmat,Toshkent,0.26731409738639267,2.7889723590389,0.7326859026136073,0.07284988222340183,1
130231452,88819994,41411458,0,0,0,19,11,6,Xizmat,Toshkent,0.31798353903018756,0.0,0.6820164609698124,0.0,0
139671854,150986900,-11315046,376340793,13157924,0,6,13,6,Savdo,Toshkent,-0.0810116403266187,2.694464075775782,1.0810116403266188,0.09420598082703191,1
212727163,151199197,61527966,451253182,12893409,1274388,9,14,4,Savdo,Toshkent,0.28923417739557783,2.121276736060265,0.7107658226044222,0.060610073571093506,0
22455935,18403259,4052676,397009298,8815969,60222770,18,11,9,Xizmat,Viloyat,0.1804723784603046,17.67948197213788,0.8195276215396954,0.3925897095801177,1
154151615,185858966,-31707351,88726474,2304380,56936631,3,3,0,Savdo,Toshkent,-0.205689385738839,0.5755792697987627,1.205689385738839,0.014948789216382844,1
136836665,151416360,-14579695,38761086,1156591,0,26,1,9,Savdo,Viloyat,-0.10654816090409687,0.2832653514319426,1.1065481609040968,0.008452347183410236,1
324447688,386067555,-61619867,260948835,11605037,52229112,19,9,6,Ishlab chiqarish,Viloyat,-0.18992234889958592,0.804286313792441,1.189922348899586,0.035768592069609695,1
486296851,600376344,-114079493,0,0,33446386,66,9,2,Ishlab chiqarish,Toshkent,-0.23458817955619457,0.0,1.2345881795561946,0.0,1
33973688,38360539,-4386851,0,0,0,27,12,8,Savdo,Toshkent,-0.12912495693726275,0.0,1.1291249569372628,0.0,1
171388961,152636167,18752794,302306260,14722485,16423748,74,15,5,Ishlab chiqarish,Toshkent,0.10941658021953934,1.7638607424663715,0.8905834197804606,0.08590101085915329,1
146448864,181688578,-35239714,259780600,10689199,24160608,45,8,7,Ishlab chiqarish,Viloyat,-0.24062811439766443,1.773865586284097,1.2406281143976645,0.07298929269946403,1
211729796,141228502,70501294,311812996,15166043,27998427,10,11,4,Ishlab chiqarish,Viloyat,0.3329776693309618,1.4726930356084602,0.6670223306690382,0.07162923351609898,1
74328874,92208772,-17879898,122781634,5892378,0,7,2,9,Xizmat,Viloyat,-0.24055117530772765,1.6518699583690721,1.2405511753077276,0.07927441494674062,1
259403548,195496622,63906926,277325037,6383009,0,36,7,2,Savdo,Toshkent,0.24636103281054583,1.0690872932855953,0.7536389671894542,0.02460648302312349,0
322006775,305623707,16383068,0,0,36003607,78,13,3,Ishlab chiqarish,Viloyat,0.050878022675144026,0.0,0.9491219773248559,0.0,0
60957447,87102026,-26144579,86489301,2213204,0,1,1,4,Savdo,Viloyat,-0.42889885135773487,1.418847167270637,1.4288988513577348,0.036307360444409686,1
133106215,165175896,-32069681,86024022,3916827,0,8,3,5,Xizmat,Viloyat,-0.24093300977719184,0.6462810320314495,1.2409330097771918,0.02942632693747621,1
373064129,329492482,43571647,262270079,7566682,0,83,5,10,Ishlab chiqarish,Viloyat,0.11679398691263614,0.7030160731427492,0.8832060130873639,0.020282523597973688,0
30590093,32068519,-1478426,356331218,17130538,1229180,16,12,7,Xizmat,Viloyat,-0.04833022246777739,11.648582369461904,1.0483302224677773,0.5600028087524939,1
12702632,9865813,2836819,0,0,0,26,8,10,Xizmat,Viloyat,0.22332529195524203,0.0,0.776674708044758,0.0,0
552565609,417141962,135423647,171709194,4223284,26089817,58,9,8,Ishlab chiqarish,Toshkent,0.24508157003307096,0.3107489702639094,0.754918429966929,0.007643045334730559,0
252169799,240907951,11261848,383560784,8569929,0,75,15,8,Ishlab chiqarish,Toshkent,0.04465978100732039,1.521041716815581,0.9553402189926796,0.033984755644747136,0
153061409,149881690,3179719,413075024,9388472,0,63,6,2,Ishlab chiqarish,Toshkent,0.02077413909080113,2.6987535702091963,0.9792258609091988,0.061337943125820825,0
157900069,137165875,20734194,0,0,0,28,13,5,Xizmat,Toshkent,0.13131212754568208,0.0,0.8686878724543179,0.0,0
116339778,105823450,10516328,86353909,3711044,25470894,52,2,6,Ishlab chiqarish,Toshkent,0.09039322732762993,0.7422560923229542,0.9096067726723701,0.031898324578202304,0
32562593,33688558,-1125965,450863445,10621889,56377718,9,14,3,Xizmat,Viloyat,-0.03457848089677625,13.84605473526018,1.0345784808967762,0.3261991144255619,1
145569235,153047433,-7478198,0,0,9305125,10,0,4,Savdo,Viloyat,-0.05137210482695743,0.0,1.0513721048269575,0.0,1
95177293,86706856,8470437,0,0,0,81,6,0,Ishlab chiqarish,Toshkent,0.08899640589694015,0.0,0.9110035941030599,0.0,0
227085307,200460500,26624807,0,0,0,98,14,9,Ishlab chiqarish,Toshkent,0.11724583748608623,0.0,0.8827541625139138,0.0,0
164544970,149747485,14797485,218671419,6344757,67360720,99,10,2,Ishlab chiqarish,Viloyat,0.08992973167153027,1.328946238830637,0.9100702683284697,0.03855941023295942,0
81809577,96451178,-14641601,381568960,15602069,14698904,53,13,2,Ishlab chiqarish,Viloyat,-0.1789717235672787,4.66411114679153,1.1789717235672788,0.19071201162670723,1
135703751,90258197,45445554,321554537,11807033,0,17,15,3,Savdo,Toshkent,0.3348879722565664,2.3695331531403285,0.6651120277434336,0.08700594429405271,0
412430067,255638472,156791595,244129216,9816474,0,29,10,9,Ishlab chiqarish,Toshkent,0.38016528751285245,0.5919287547966283,0.6198347124871475,0.023801547911879082,0
111534675,133939053,-22404378,0,0,0,45,6,9,Xizmat,Toshkent,-0.20087365655568548,0.0,1.2008736565556855,0.0,1
129242390,108672201,20570189,240424830,8507311,0,47,6,7,Xizmat,Toshkent,0.1591597694843,1.8602629524260577,0.8408402305157,0.06582446362992823,0
105299871,87721813,17578058,0,0,67132110,38,10,6,Savdo,Viloyat,0.1669333289116755,0.0,0.8330666710883246,0.0,0
120439678,126703248,-6263570,467674226,12963837,62790806,42,9,7,Savdo,Toshkent,-0.052005868032958376,3.8830577577598637,1.0520058680329585,0.10763759265447388,1
66046088,44166856,21879232,0,0,0,43,14,0,Savdo,Viloyat,0.3312721867796318,0.0,0.6687278132203682,0.0,0
76262130,58106869,18155261,24056738,956941,30443747,36,0,6,Xizmat,Toshkent,0.23806391193112492,0.3154480211869246,0.761936088068875,0.012548049733203098,1
147991620,216250870,-68259250,65233585,2882347,0,34,0,2,Savdo,Viloyat,-0.4612372646505255,0.4407924245980955,1.4612372646505254,0.0194764203540714,1
112770194,89710091,23060103,317984305,11749540,24395368,44,7,1,Savdo,Viloyat,0.20448757053659056,2.8197548813297244,0.7955124294634095,0.10419011959844637,0
121223357,108435333,12788024,43002714,966726,59119183,22,1,9,Savdo,Viloyat,0.10549141944650155,0.3547395078326366,0.8945085805534985,0.007974750278529244,1
217318318,236258720,-18940402,62498883,2982745,48815514,77,3,10,Ishlab chiqarish,Toshkent,-0.08715511041273566,0.28759141693706647,1.0871551104127357,0.013725235071992413,1
